Ключ проблемы,Идентификатор проблемы,Идентификатор родителя,Статус,Создано,Обновленo,Исполнитель,Пользовательское поле (Story Points),Тема,Создатель
ANL-2221,269944,,Готово,09.01.2024 19:02 ,27.02.2024 11:03 ,mikhaelyanta,5.0,Отчет в superset по СУП,mikhaelyanta
ANL-2327,278286,,Готово,19.02.2024 10:03 ,27.02.2024 10:39 ,mikhaelyanta,2.0,Проверка СБР в КС,mikhaelyanta
ANL-2326,278278,,Готово,19.02.2024 09:45 ,26.02.2024 12:35 ,balitskayaav,5.0,Простыня СБР: корректировка и добавление полей часть 1,balitskayaav
ANL-2325,278255,,Готово,19.02.2024 09:33 ,26.02.2024 12:35 ,balitskayaav,2.0,Доработки по простыне ООН + поставить на расписание,balitskayaav
ANL-2321,277801,,Готово,15.02.2024 14:23 ,26.02.2024 12:35 ,balitskayaav,1.0,"СБР для бухгалтерии(проверить наличие атрибутов, выгрузить)",flerinvs
ANL-2307,275795,,Готово,06.02.2024 16:11 ,26.02.2024 11:56 ,flerinvs,2.0,проработать процесс сертификации отчетности,flerinvs
ANL-2272,273791,,Закрыт,29.01.2024 12:51 ,22.02.2024 13:59 ,balitskayaav,5.0,Аналитическая работа по СБР ,balitskayaav
ANL-2329,278329,,Готово,19.02.2024 11:28 ,21.02.2024 09:17 ,nikishinpa,1.0,Детализация СБР ЭР,nikishinpa
ANL-2309,275981,,Готово,07.02.2024 10:50 ,21.02.2024 09:17 ,nikishinpa,5.0,Защита сделки - исчезнутые коды ТП,nikishinpa
ANL-2287,274471,,Готово,31.01.2024 14:52 ,21.02.2024 09:16 ,nikishinpa,2.0,Выгрузка выпущенных УКЭП СМБ ВТБ за 2023 и 2024 год,kovievanv
ANL-2280,274149,,Закрыт,30.01.2024 14:21 ,19.02.2024 09:34 ,balitskayaav,5.0,"Сделать ""Простыню"" с данными по сервису ООН",ivanovamv
ANL-2315,276718,,Готово,12.02.2024 09:47 ,16.02.2024 17:17 ,mikhaelyanta,3.0,Нераспределенные неипотечные сделки,mikhaelyanta
ANL-2303,275560,,Готово,06.02.2024 09:33 ,16.02.2024 16:05 ,mikhaelyanta,2.0,Поправить тарифы по ЭР,mikhaelyanta
ANL-2317,277383,,Готово,14.02.2024 09:38 ,15.02.2024 15:21 ,mikhaelyanta,5.0,Выгрузка по неипотечным сделкам,mikhaelyanta
ANL-1914,237997,,Сделaть,11.08.2023 09:42 ,15.02.2024 14:15 ,flerinvs,,Отчет по заведенным сделкам ИЖС,shorinav
ANL-1896,242340,,В работе,29.08.2023 18:50 ,15.02.2024 14:15 ,mikhaelyanta,,"Дубли в ""MART_ALL_DEALS"".""ALL_SALES""",klekovkinve
ANL-1859,232108,,В работе,12.07.2023 12:35 ,15.02.2024 14:15 ,mikhaelyanta,,"Проверить маппинг бранчей в ""MART_AUTH"".""VTB_EMPLOYEE_STRUCTURE_HISTORY""",klekovkinve
ANL-2312,276615,,Готово,09.02.2024 16:00 ,14.02.2024 19:21 ,flerinvs,3.0,Вопрос от продаж(исследование),flerinvs
ANL-2200,268692,,Готово,25.12.2023 15:51 ,12.02.2024 12:38 ,mikhaelyanta,,Добавление в отчеты SLT ЭР ответственных по застройщикам,mikhaelyanta
ANL-2172,266920,,Готово,14.12.2023 15:41 ,12.02.2024 12:38 ,mikhaelyanta,5.0,Добавление в отчеты SLT СБР ответственных по застройщикам,mikhaelyanta
ANL-2085,261081,,Готово,17.11.2023 13:47 ,12.02.2024 12:38 ,mikhaelyanta,3.0,Логика определения сегмента по ЭР в отчетах,mikhaelyanta
ANL-2064,259927,,Готово,13.11.2023 16:26 ,12.02.2024 12:38 ,mikhaelyanta,1.0,Скорректировать логику определения role_type_name в AUTH,klekovkinve
ANL-2194,267429,,Закрыт,18.12.2023 12:51 ,12.02.2024 12:38 ,balitskayaav,1.0,Скорректировать логику обновления словарей для свода сбр и элрег,balitskayaav
ANL-2089,261237,,Готово,17.11.2023 19:19 ,12.02.2024 12:38 ,nikishinpa,3.0,Создать словарь по ручным защитам,mikhaelyanta
ANL-2136,265083,,Готово,06.12.2023 17:39 ,12.02.2024 12:38 ,flerinvs,,Составить отчеты по метрикам Сделки,tatiankoaa
ANL-2305,275605,,Готово,06.02.2024 11:10 ,12.02.2024 12:28 ,nikishinpa,,Неипотека: выгрузка,nikishinpa
ANL-2249,272006,,Готово,19.01.2024 11:41 ,12.02.2024 12:12 ,balitskayaav,3.0,Документация,balitskayaav
ANL-2302,275453,,Готово,05.02.2024 16:33 ,12.02.2024 12:12 ,balitskayaav,2.0,Детализация по рейтингу АН - ИНКОМ НЕДВИЖИМОСТЬ,zhuravlevaev
ANL-2301,275324,,Готово,05.02.2024 12:46 ,09.02.2024 14:04 ,balitskayaav,1.0,Выгрузить УКЭП за январь,balitskayaav
ANL-2295,274860,,Готово,01.02.2024 18:45 ,09.02.2024 12:48 ,flerinvs,2.0,Добавить поля в отчет Сделка онлайн,tatiankoaa
ANL-2289,274634,,Готово,01.02.2024 10:33 ,09.02.2024 10:02 ,flerinvs,1.0,Сформировать документацию по понятиям сделки ,flerinvs
ANL-2253,272315,,Готово,22.01.2024 13:43 ,07.02.2024 19:42 ,nikishinpa,2.0,Выгрузка по УКЭП за 2023 годя для Донстроя,kovievanv
ANL-2269,273485,,Готово,26.01.2024 12:15 ,07.02.2024 17:21 ,mikhaelyanta,2.0,Выгрузить отчет по проведенным сделкам за декабрь 2023 г и январь 2024 г. по всем сделкам SetlGroup,chizhikovaea
ANL-2291,274640,,Готово,01.02.2024 10:49 ,07.02.2024 17:20 ,flerinvs,2.0,(Закрытие ОП) + автоматизация регулярного отчета для мидла ,flerinvs
ANL-2288,274477,,Готово,31.01.2024 15:07 ,07.02.2024 09:24 ,mikhaelyanta,2.0,Добавить фильтр в отчете Элрег SLT,mikhaelyanta
ANL-2300,275225,,Готово,05.02.2024 09:31 ,05.02.2024 16:04 ,mikhaelyanta,1.0,Установка года по умолчанию 2024 (отчет по электронной регистрации),kluninany
ANL-2236,271134,,Готово,15.01.2024 18:15 ,05.02.2024 12:33 ,nikishinpa,2.0,выгрузить отчет по выпуску УКЭП для ИНН 9718003519 Монолитное домостроение,sheremetevtv
ANL-2277,273940,,Готово,29.01.2024 18:31 ,05.02.2024 12:23 ,nikishinpa,5.0,Расхождение данных ВТБ по неипотечным сделкам за 4 кв,nikishinpa
ANL-2246,271925,,Готово,18.01.2024 17:38 ,05.02.2024 12:16 ,nikishinpa,3.0,2) Формирование сводной витрины MBO,nikishinpa
ANL-2268,273279,,Готово,25.01.2024 16:30 ,05.02.2024 11:53 ,flerinvs,3.0,"Сверить ""простыню СБР"" и отчет ""Сделка онлайн""",dmitrievaoa
